spam/ham,Messge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam,new digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,Internship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam,"e-RUPI is a cashless and contactless instrument for digital payment. It is a QR code or SMS string-based e-Voucher, which is delivered to the mobile of the beneficiaries. The users of this one-time payment mechanism will be able to redeem the voucher without a card, digital payments app or internet banking access, at the service provider. It has been developed by National Payments Corporation of India on its UPI platform. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam,It also ensures that the payment to the service provider is made only after the transaction is completed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,Placement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam,"It can also be used for delivering services under schemes meant for providing drugs and nutritional support under Mother and Child welfare schemes, TB eradication programmes, drugs & diagnostics under schemes like Ayushman Bharat Pradhan Mantri Jan Arogya Yojana, fertilizer subsidies etc. Even the private sector can leverage these digital vouchers as part of their employee welfare and corporate social responsibility programmes. e-RUPI is easy, safe and secure as it keeps the details of the beneficiaries completely confidential. The entire transaction process through this voucher is relatively faster and at the same time reliable, as the required amount is already stored in the voucher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam,Drag-flicker Gurjit Kaur rose to the occasion when it mattered and converted India’s lone penalty corner in the 22nd minute to surprise the Australians.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,Jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam,"The Indian women’s hockey team scripted history on August 2 qualifying for the Olympic Games semifinals for the first time, beating three-time champions Australia by a solitary goal here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spam,"SPORT HOCKEY  HOCKEY Brave Indian women create history, enter Olympic hockey semifinals for first time PTITOKYO, AUGUST 02, 2021 10:23 ISTUPDATED: AUGUST 02, 2021 10:23 IST Drag-flicker Gurjit Kaur rose to the occasion when it mattered and converted India’s lone penalty corner in the 22nd minute to surprise the Australians. The Indian women’s hockey team scripted history on August 2 qualifying for the Olympic Games semifinals for the first time, beating three-time champions Australia by a solitary goal here. A day after the Indian men’s team entered the Olympic semifinals following a 49-year gap, the world no. 9 women’s side also entered the history books with a phenomenally gritty performance. Coming into the match, the odds were against India as world no. 2 Australia, a mighty unbeaten opponent, awaited them in the last-four round. The Indian side, determined to prove a point, produced a strong and brave performance to eke out the narrow win over the Hockeyroos. Drag-flicker Gurjit Kaur rose to the occasion when it mattered and converted India’s lone penalty corner in the 22nd minute to surprise the Australians. India’s best performance in the Olympics came way back in the 1980 Moscow Games where they finished fourth out of six teams. In that edition of the Games, women’s hockey made its debut in the Olympics and the sport was played in a round-robin format with top two teams qualifying for the final. The Rani Rampal-led side will play Argentina in the semifinal on August 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
